# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416640124;sda;5.17;0.00;168.83;32.67;0.03;5.02;0.14;0.07
axle;60;1416640184;sda;5.11;0.00;304.53;59.57;0.01;2.48;0.13;0.07
axle;60;1416640244;sda;3.79;0.00;238.58;62.87;0.01;1.97;0.11;0.04
axle;60;1416640304;sda;4.02;0.00;197.43;49.13;0.00;0.90;0.08;0.03
axle;60;1416640364;sda;3.22;0.00;233.32;72.41;0.01;2.32;0.08;0.03
axle;60;1416640424;sda;4.89;0.00;188.97;38.61;0.01;1.92;0.16;0.08
axle;60;1416640484;sda;3.54;0.00;243.03;68.68;0.00;1.23;0.11;0.04
axle;60;1416640544;sda;4.49;0.00;223.31;49.72;0.01;1.61;0.12;0.05
axle;60;1416640604;sda;3.67;0.00;238.57;65.05;0.01;2.25;0.11;0.04
axle;60;1416640664;sda;3.69;0.00;150.68;40.83;0.01;2.03;0.13;0.05
