Linux 3.0.101-0.15-default (axle) 	11/22/2014 	_x86_64_

08:07:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:08:44 AM     all     45.79      0.00      9.95      0.02      0.00     44.24
08:09:44 AM     all     44.75      0.00      9.95      0.00      0.00     45.29
08:10:44 AM     all     45.97      0.00     10.58      0.00      0.00     43.45
08:11:44 AM     all     44.21      0.00     11.35      0.00      0.00     44.43
08:12:44 AM     all     45.18      0.00     10.97      0.00      0.00     43.85
08:13:44 AM     all     43.76      0.00     10.97      0.00      0.00     45.26
08:14:44 AM     all     43.11      0.00      7.02      0.00      0.00     49.87
08:15:44 AM     all     41.42      0.00      8.59      0.00      0.00     49.98
08:16:44 AM     all     43.88      0.00      6.48      0.00      0.00     49.64
08:17:44 AM     all     41.01      0.00      9.10      0.00      0.00     49.89
